"Name","Genre"
"Teodora","f"
"Terezija","f"
"Tešina","f"
"Tiara","f"
"Tiha","f"
"Tihica","f"
"Tihomira","f"
"Tijana","f"
"Tina","f"
"Tinka","f"
"Tisa","f"
"Tita","f"
"Tjaša","f"
"Tomislava","f"
"Topa","f"
"Trdila","f"
"Trebenja","f"
"Trebica","f"
"Trina","f"
"Ubislava","f"
"Uma","f"
"Urša","f"
"Urška","f"
"Valentina","f"
"Valerija","f"
"Vanesa","f"
"Vanessa","f"
"Vanja","f"
"Vera","f"
"Verica","f"
"Veronika","f"
"Vesela","f"
"Vesna","f"
"Vida","f"
"Vidina","f"
"Viktorija","f"
"Vilma","f"
"Vlasta","f"
"Volkonja","f"
"Vranica","f"
"Zala","f"
"Zarja","f"
"Zdenka","f"
"Zemidraga","f"
"Zla","f"
"Zlata","f"
"Zlativenca","f"
"Zlatka","f"
"Zlatolasa","f"
"Zleslava","f"
"Zofija","f"
"Zora","f"
"Zorka","f"
"Zvonka","f"
"Židana","f"
"Živa","f"
"Živina","f"
"Špela","f"
"Črešulja","f"
"Črna","f"
"Črnika","f"
"Štefanija","f"
"Štefka","f"
"Ščenedraga","f"
"Adian","m"
"Adin","m"
"Adnan","m"
"Adolf","m"
"Adrijan","m"
"Ajdin","m"
"Alan","m"
"Albert","m"
"Albin","m"
"Aldin","m"
"Aleks","m"
"Aleksa","m"
"Aleksandar","m"
"Aleksander","m"
"Alem","m"
"Alen","m"
"Alexander","m"
"Aleš","m"
"Ali","m"
"Aljaž","m"
"Aljoša","m"
"Alojz","m"
"Alojzij","m"
"Amin","m"
"Andraž","m"
"Andrej","m"
"Anej","m"
"Anel","m"
"Anes","m"
"Anis","m"
"Anton","m"
"Anže","m"
"Arian","m"
"Armin","m"
"Aron","m"
"Avgust","m"
"Avguštin","m"
"Belot","m"
"Benebod","m"
"Benjamin","m"
"Bernard","m"
"Blaž","m"
"Bogdan","m"
"Bogo","m"
"Bogomir","m"
"Bojan","m"
"Bor","m"
"Boran","m"
"Borin","m"
"Boris","m"
"Borižit","m"
"Borut","m"
"Božidar","m"
"Božjak","m"
"Božo","m"
"Boštjan","m"
"Branimir","m"
"Branislav","m"
"Branko","m"
"Braslav","m"
"Bratina","m"
"Bratislav","m"
"Bretislav","m"
"Bruno","m"
"Budan","m"
"Budigoj","m"
"Budin","m"
"Budislav","m"
"Budič","m"
"Budoran","m"
"Ciril","m"
"Cvetko","m"
"Dalimir","m"
"Damijan","m"
"Damir","m"
"Damjan","m"
"Dan","m"
"Daniel","m"
"Danijel","m"
"Danilo","m"
"Danimir","m"
"Dario","m"
"Daris","m"
"Darko","m"
"David","m"
"Davor","m"
"Davorin","m"
"Debeloglav","m"
"Dejan","m"
"Denis","m"
"Dino","m"
"Dobislav","m"
"Dobren","m"
"Dobriko","m"
"Dobrodej","m"
"Dobromisl","m"
"Dobroslav","m"
"Dobrožica","m"
"Dobrožit","m"
"Domen","m"
"Dominik","m"
"Domogoj","m"
"Domomir","m"
"Dragan","m"
"Dragič","m"
"Drago","m"
"Dragomer","m"
